PostID,Date,Platform,ContentType,Campaign,PostHour,Impressions,Reach,Engagements,Likes,Comments,Shares,Clicks,Saves,VideoViews,FollowersGained,AdSpend,TargetAudience,PostCaption,HashtagCount,MediaCount,IsSponsored,InfluencerID,SentimentScore,CTR,EngagementRate,CostPerEngagement,ReachRate,ClickThroughRate,VideoViewRate,SaveRate,FollowerGrowthRate,ROI
POST_00037,2026-04-08,Instagram,Carousel,Spring Collection,3.0,14447.0,29068.0,22.0,1513.0,366.0,258.0,1938.0,42.0,11218.0,86.0,166.58261877429575,45-54,Sample post caption 37,12.0,2.0,False,,0.77,0.1397,0.15,7.5719,201.2,13.41,77.65,0.29,0.3,481.69
POST_00038,2026-06-09,Facebook,Reel,Retargeting Campaign,12.0,13602.0,20353.0,3714.0,1251.0,466.0,250.0,741.0,555.0,21339.0,35.0,212.42951758044032,45-54,Sample post caption 38,6.0,5.0,False,,0.9,0.1115,27.3,0.0572,149.63,5.45,156.88,4.08,0.17,74.41
POST_00039,2024-01-07,LinkedIn,Text,Retargeting Campaign,17.0,46579.0,14322.0,2775.0,1131.0,325.0,12.0,1505.0,598.0,18497.0,2.0,253.55554863125585,  55+  ,Sample post caption 39,5.0,8.0,False,,-0.9,0.0736,5.96,0.0914,30.75,3.23,39.71,1.28,0.01,196.78
POST_00040,2026-02-16,Instagram,Reel,User Generated Content,11.0,13948.0,22636.0,1035.0,1001.0,485.0,670.0,1288.0,479.0,23324.0,10.0,1.5996256807596643,25-34,Sample post caption 40,4.0,2.0,False,,0.63,0.0649,7.42,0.0015,162.29,9.23,167.22,3.43,0.04,40159.42
POST_00041,2026-04-05,Facebook,Text,User Generated Content,22.0,,827.0,4480.0,700.0,223.0,540.0,1693.0,82.0,15786.0,62.0,243.38266370605626,35-44,Sample post caption 41,0.0,2.0,False,,0.78,0.139,19.89,0.0543,3.67,7.52,70.09,0.36,7.5,247.81
POST_00042,2024-06-12,Twitter,Carousel,Video Series 2025,20.0,14526.0,2616.0,4214.0,1091.0,128.0,56.0,351.0,203.0,22058.0,253.0,97.4621822051413,45-54,Sample post caption 42,1.0,3.0,False,INF_053,-0.05,0.0458,29.01,0.0231,18.01,2.42,151.85,1.4,9.67,80.07
POST_00043,2025-12-15,Facebook,Image,Flash Sale March,14.0,4795.0,10145.0,1624.0,2383.0,349.0,160.0,588.0,137.0,22648.0,57.0,48.93850146002393,45-54,Sample post caption 43,9.0,2.0,True,INF_070,0.78,0.0556,33.87,0.0301,211.57,12.26,472.33,2.86,0.56,500.75
POST_00044,2025-03-08,YouTube,Carousel,New Year Promo,22.0,49071.0,11003.0,855.0,2422.0,381.0,436.0,81.0,82.0,6335.0,284.0,266.6481417910394,18-24,Sample post caption 44,1.0,4.0,False,,-0.8,0.1037,1.74,0.3119,22.42,0.17,12.91,0.17,2.58,-84.81
POST_00045,2024-12-14,Instagram,Carousel,Flash Sale March,8.0,15960.0,7454.0,1901.0,1233.0,15.0,777.0,1963.0,150.0,11739.0,252.0,372.07459830512175,25-34,Sample post caption 45,10.0,4.0,True,,,0.1139,11.91,0.1957,46.7,12.3,73.55,0.94,3.38,163.79
POST_00046,2024-10-11,LinkedIn,Carousel,Organic Growth,3.0,46965.0,28477.0,980.0,2631.0,410.0,229.0,1204.0,318.0,21857.0,16.0,467.37476998313724,25-34,Sample post caption 46,8.0,1.0,True,,-0.42,0.0491,2.09,0.4769,60.63,2.56,46.54,0.68,0.06,28.8
POST_00047,2024-06-08,Instagram,Video,Flash Sale March,4.0,47504.0,128.0,2521.0,688.0,273.0,192.0,1365.0,246.0,17950.0,269.0,456.32975174535426,25-34,Sample post caption 47,5.0,6.0,False,,-0.95,0.1383,5.31,0.181,0.27,2.87,37.79,0.52,210.16,49.56
POST_00048,2024-08-08,Twitter,Video,New Year Promo,8.0,25810.0,1631.0,4193.0,2759.0,76.0,619.0,195.0,36.0,10596.0,71.0,199.4983131199669,25-34,Sample post caption 48,2.0,7.0,False,INF_085,0.37,0.0384,16.25,0.0476,6.32,0.76,41.05,0.14,4.35,-51.13
POST_00049,2026-02-20,Twitter,Video,Brand Awareness Q1,12.0,25511.0,14116.0,1520.0,930.0,299.0,356.0,59.0,267.0,479.0,203.0,352.0288754384467,55+,Sample post caption 49,2.0,7.0,False,,0.85,0.0521,5.96,0.2316,55.33,0.23,1.88,1.05,1.44,-91.62
POST_00050,2024-12-10,Facebook,Video,Video Series 2025,9.0,8943.0,8017.0,1130.0,1845.0,305.0,351.0,150.0,585.0,4892.0,249.0,347.8101093829491,18-24,Sample post caption 50,13.0,5.0,True,,-0.41,0.0295,12.64,0.3078,89.65,1.68,54.7,6.54,3.11,-78.44
POST_00051,2024-04-14,Pinterest,Image,Brand Refresh,15.0,31252.0,7889.0,497.0,1735.0,91.0,257.0,1084.0,114.0,5192.0,-46.0,206.05283033675593,55+,Sample post caption 51,9.0,4.0,False,,0.32,0.0806,1.59,0.4146,25.24,3.47,16.61,0.36,-0.58,163.04
POST_00052,2024-04-04,TikTok,Story ,,12.0,49668.0,2212.0,3041.0,742.0,457.0,621.0,1670.0,80.0,23942.0,299.0,49.1052016022257,55+,Sample post caption 52,9.0,2.0,True,,-0.06,0.1499,6.12,0.0161,4.45,3.36,48.2,0.16,13.52,1600.43
POST_00053,2025-01-24,YouTube,Image,Influencer Collab,3.0,15673.0,25611.0,2531.0,273.0,269.0,641.0,427.0,526.0,7097.0,184.0,191.00445764209866,35-44,Sample post caption 53,1.0,5.0,False,,-0.49,0.1077,16.15,0.0755,163.41,2.72,45.28,3.36,0.72,11.78
POST_00054,2024-04-09,YouTube,Image,Paid Ads Q2,20.0,38434.0,17919.0,171.0,1975.0,51.0,634.0,950.0,335.0,1099.0,284.0,496.1789412218873,18-24,Sample post caption 54,6.0,4.0,False,,0.84,0.0707,0.44,2.9016,46.62,2.47,2.86,0.87,1.58,-4.27
POST_00055,2025-01-02,Twitter,Video,New Year Promo,12.0,30837.0,22179.0,4240.0,713.0,348.0,627.0,330.0,83.0,18619.0,-12.0,277.5173401396288,25-34,Sample post caption 55,13.0,8.0,True,,0.92,0.1474,13.75,0.0655,71.92,1.07,60.38,0.27,-0.05,-40.54
POST_00056,2026-05-17,YouTube,Carousel,Organic Growth,20.0,38867.0,Null,4194.0,327.0,120.0,741.0,1062.0,153.0,11954.0,149.0,170.69550310507904,18-24,Sample post caption 56,0.0,1.0,False,,-0.73,0.0074,10.79,0.0407,35.93,2.73,30.76,0.39,1.07,211.08
POST_00057,2024-12-18,Facebook,Video,Video Series 2025,7.0,28356.0,19054.0,580.0,992.0,458.0,292.0,1276.0,252.0,14302.0,119.0,371.90738843196266,25-34,Sample post caption 57,0.0,7.0,True,INF_036,0.53,0.0429,2.05,0.6412,67.2,4.5,50.44,0.89,0.62,71.55
POST_00058,2025-09-10,Facebook,Video,Brand Refresh,12.0,36734.0,1014.0,610.0,1553.0,49.0,385.0,889.0,501.0,13649.0,297.0,343.1628960042608,35-44,Sample post caption 58,13.0,5.0,True,INF_030,-0.62,0.1257,1.66,0.5626,2.76,2.42,37.16,1.36,29.29,29.53
POST_00059,2024-09-27,Facebook,Carousel,Back to School,14.0,41805.0,10789.0,3348.0,800.0,378.0,744.0,954.0,447.0,11569.0,-30.0,289.3999560420414,45-54,Sample post caption 59,9.0,5.0,True,,-0.02,0.0787,8.01,0.0864,25.81,2.28,27.67,1.07,-0.28,64.82
POST_00060,2026-04-06,Instagram,Video,,19.0,2102.0,25454.0,1823.0,1872.0,474.0,233.0,1641.0,272.0,17300.0,124.0,318.71630277332326,55+,Sample post caption 60,2.0,1.0,False,,-0.28,0.0007,86.73,0.1748,1210.94,78.07,823.03,12.94,0.49,157.44
POST_00061,2024-02-14,  Instagram  ,Reel,Influencer Collab,19.0,16723.0,27799.0,1160.0,2970.0,491.0,295.0,1256.0,506.0,4744.0,23.0,292.46895505885664,35-44,Sample post caption 61,0.0,9.0,False,,-0.51,0.0685,6.94,0.2521,166.23,7.51,28.37,3.03,0.08,114.72
POST_00062,2026-01-17,Instagram,Reel,Paid Ads Q2,12.0,41915.0,2723.0,4684.0,2597.0,272.0,702.0,353.0,131.0,10401.0,233.0,478.1385158929681,55+,Sample post caption 62,12.0,7.0,False,,0.35,0.0033,11.17,0.1021,6.5,0.84,24.81,0.31,8.56,-63.09
POST_00063,2025-04-15,TikTok,Video,Summer Sale 2024,22.0,48793.0,5343.0,820.0,1095.0,379.0,536.0,900.0,324.0,21281.0,98.0,254.56696619346343,25-34,Sample post caption 63,10.0,2.0,False,,0.71,0.086,1.68,0.3104,10.95,1.84,43.61,0.66,1.83,76.77
POST_00064,2025-07-03,Instagram,Video,Video Series 2025,4.0,22351.0,23693.0,2645.0,2958.0,119.0,378.0,1193.0,350.0,22574.0,62.0,295.095456485716,25-34,Sample post caption 64,13.0,5.0,False,INF_013,0.56,0.0949,11.83,0.1116,106.0,5.34,101.0,1.57,0.26,102.14
POST_00065,2024-05-07,Instagram,Post,,21.0,12807.0,1768.0,1540.0,214.0,386.0,677.0,216.0,82.0,9551.0,233.0,235.82747392459814,35-44,Sample post caption 65,2.0,8.0,False,,0.44,0.0302,12.02,0.1531,13.8,1.69,74.58,0.64,13.18,-54.2
POST_00066,2026-08-02,Twitter,Image,Brand Awareness Q1,21.0,24217.0,10674.0,2738.0,1584.0,445.0,209.0,347.0,125.0,17691.0,35.0,300.11112072763206,45-54,Sample post caption 66,14.0,7.0,False,,-0.87,0.148,11.31,0.1096,44.08,1.43,73.05,0.52,0.33,-42.19
POST_00067,2025-01-22,Facebook,Video,Paid Ads Q2,5.0,22843.0,1278.0,967.0,1446.0,94.0,538.0,1549.0,213.0,18605.0,51.0,445.4134535488144,45-54,Sample post caption 67,11.0,2.0,True,,-0.81,0.1251,4.23,0.4606,5.59,6.78,81.45,0.93,3.99,73.88
POST_00068,2024-03-21,TikTok,Video,,4.0,10890.0,10652.0,3039.0,2647.0,148.0,177.0,410.0,599.0,23858.0,-32.0,169.87728361162746,55+,Sample post caption 68,8.0,7.0,False,,-0.07,0.0696,27.91,0.0559,97.81,3.76,219.08,5.5,-0.3,20.68
POST_00069,2025-07-19,Facebook,Reel,Summer Sale 2024,12.0,48169.0,20212.0,2052.0,50.0,288.0,555.0,1551.0,461.0,4974.0,12.0,247.9514345712998,25-34,Sample post caption 69,6.0,6.0,False,INF_085,0.11,0.0464,4.26,0.1208,41.96,3.22,10.33,0.96,0.06,212.76
POST_00070,2024-10-27,Pinterest,Image,User Generated Content,4.0,32720.0,1890.0,4546.0,233.0,256.0,71.0,730.0,104.0,6114.0,65.0,224.3054777545162,25-34,Sample post caption 70,12.0,8.0,False,,0.45,0.0019,13.89,0.0493,5.78,2.23,18.69,0.32,3.44,62.72
POST_00071,2026-04-29,TikTok,Carousel,Organic Growth,12.0,15696.0,16931.0,3865.0,581.0,453.0,507.0,897.0,370.0,11013.0,129.0,198.9886408065854,45-54,Sample post caption 71,8.0,9.0,False,,-0.29,0.104,24.62,0.0515,107.87,5.71,70.16,2.36,0.76,125.39
POST_00072,2025-10-05,Facebook,Text,Product Launch Alpha,23.0,30439.0,16970.0,1519.0,1115.0,370.0,221.0,914.0,62.0,12517.0,-13.0,410.5186192619661,25-34,Sample post caption 72,6.0,7.0,False,,-0.95,0.0394,4.99,0.2703,55.75,3.0,41.12,0.2,-0.08,11.32
POST_00073,2025-09-25,Facebook,Video,Video Series 2025,19.0,34221.0,19739.0,3356.0,1757.0,183.0,227.0,1942.0,468.0,8894.0,251.0,115.97258068429788,25-34,Sample post caption 73,10.0,8.0,True,,-0.93,0.0592,9.81,0.0346,57.68,5.67,25.99,1.37,1.27,737.27
POST_00074,2026-06-25,TikTok,Image,Spring Collection,22.0,43095.0,7174.0,1072.0,2982.0,259.0,232.0,1704.0,25.0,16501.0,41.0,249.9590002813259,35-44,Sample post caption 74,13.0,7.0,False,,0.71,0.0643,2.49,0.2332,16.65,3.95,38.29,0.06,0.57,240.86
POST_00075,2026-06-01,TikTok,Live,Summer Sale 2024,7.0,48696.0,9406.0,886.0,2102.0,149.0,267.0,1549.0,0.0,10292.0,122.0,462.31720673947365,45-54,Sample post caption 75,8.0,7.0,False,,-0.74,0.1281,1.82,0.5218,19.32,3.18,21.14,0.0,1.3,67.53
POST_00076,2025-01-05,TikTok,Video,Holiday Campaign 2024,8.0,49931.0,18405.0,94078.00378164291,51168.18747198188,204.0,253.0,1966.0,93.0,19647.0,154.0,80.62741174175636,45-54,Sample post caption 76,10.0,1.0,False,,0.87,0.1277,7.3,0.0221,36.86,3.94,39.35,0.19,0.84,1119.19
POST_00077,2025-08-14,TikTok,Carousel,Retargeting Campaign,20.0,41546.0,7637.0,1554.0,613.0,441.0,674.0,242.0,451.0,21427.0,-42.0,2.322243252325329,18-24,Sample post caption 77,12.0,5.0,False,,-0.33,0.1164,3.74,0.0015,18.38,0.58,51.57,1.09,-0.55,5110.48
POST_00078,2024-07-15,Facebook,Image,Paid Ads Q2,18.0,45778.0,3577.0,2742.0,448.0,171.0,5.0,1854.0,11.0,4667.0,-42.0,132.6117829712537,45-54,Sample post caption 78,2.0,5.0,True,,0.17,0.115,5.99,0.0484,7.81,4.05,10.19,0.02,-1.17,599.03
POST_00079,2025-12-22,Instagram,Video,Flash Sale March,19.0,20798.0,349.0,4562.0,963.0,312.0,46.0,7.0,297.0,10152.0,-30.0,461.155679957704,45-54,Sample post caption 79,6.0,4.0,False,INF_026,,0.0742,21.93,0.1011,1.68,0.03,48.81,1.43,-8.6,-99.24
POST_00080,2024-03-12,Facebook,Video,Back to School,14.0,39732.0,18820.0,105.0,133.0,221.0,406.0,1306.0,419.0,4618.0,-27.0,43.81223680175267,18-24,Sample post caption 80,5.0,1.0,False,INF_099,-0.09,0.1187,0.26,0.4173,47.37,3.29,11.62,1.05,-0.14,1390.45
POST_00081,2024-02-16,YouTube,Image,Paid Ads Q2,21.0,14816.0,12640.0,3537.0,2650.0,167.0,579.0,622.0,578.0,15500.0,44.0,68.53721062275281,25-34,Sample post caption 81,1.0,7.0,False,,0.75,0.1287,23.87,0.0194,85.31,4.2,104.62,3.9,0.35,353.77
POST_00082,2025-11-08,LinkedIn,Image,Summer Sale 2024,9.0,30906.0,4013.0,2821.0,1674.0,243.0,253.0,,166.0,23182.0,141.0,160.16986097917479,25-34,Sample post caption 82,5.0,8.0,False,INF_022,0.97,0.0748,9.13,0.0568,12.98,5.1,75.01,0.54,3.51,391.67
POST_00083,2024-08-21,Instagram,Story,Organic Growth,10.0,17968.0,4737.0,412.0,2424.0,217.0,448.0,923.0,253.0,17671.0,298.0,384.85181570079294,55+,Sample post caption 83,2.0,5.0,True,,0.53,0.1351,2.29,0.9341,26.36,5.14,98.35,1.41,6.29,19.92
POST_00084,2026-03-02,Facebook,Image,Summer Sale 2024,4.0,48018.0,4221.0,2520.0,2601.0,55.0,58.0,579.0,570.0,7658.0,245.0,375.6403796551394,25-34,Sample post caption 84,1.0,4.0,True,,0.53,0.1486,5.25,0.1491,8.79,1.21,15.95,1.19,5.8,-22.93
POST_00085,2024-10-23,Instagram,Image,Product Launch Alpha,8.0,31230.0,20293.0,1744.0,2580.0,62.0,392.0,1658.0,293.0,9559.0,129.0,43.53514279449789,45-54,Sample post caption 85,4.0,9.0,False,INF_046,0.77,0.0263,5.58,0.025,64.98,5.31,30.61,0.94,0.64,1804.21
POST_00086,2024-03-22,Instagram,Video,Retargeting Campaign,10.0,49942.0,25539.0,4057.0,2437.0,102.0,630.0,1852.0,143.0,24431.0,80.0,466.92114701826165,55+,Sample post caption 86,4.0,3.0,False,,-0.51,0.1469,8.12,0.1151,51.14,3.71,48.92,0.29,0.31,98.32
POST_00087,2026-05-25,TikTok,Text,User Generated Content,18.0,6225.0,13117.0,263.0,338.0,372.0,697.0,165.0,208.0,8290.0,-30.0,119.40940494849272,55+,Sample post caption 87,10.0,3.0,False,,0.47,0.0369,4.22,0.454,210.71,2.65,133.17,3.34,-0.23,-30.91
POST_00088,2024-08-26,LinkedIn,Image,Brand Refresh,1.0,42072.0,3745.0,513.0,2786.0,,559.0,1226.0,225.0,14808.0,-43.0,140.3183926721686,25-34,Sample post caption 88,1.0,4.0,False,,0.12,0.1401,1.22,0.2735,8.9,2.91,35.2,0.53,-1.15,336.86
